facet	hue	bin_center	mean_density	error	n_seeds
cross	3	1.899343e-05	0.000000e+00	0.000000e+00	100
cross	3	1.920837e-05	0.000000e+00	0.000000e+00	100
cross	3	1.942574e-05	0.000000e+00	0.000000e+00	100
cross	3	1.964557e-05	0.000000e+00	0.000000e+00	100
cross	3	1.986789e-05	0.000000e+00	0.000000e+00	100
cross	3	2.009273e-05	0.000000e+00	0.000000e+00	100
cross	3	2.032011e-05	0.000000e+00	0.000000e+00	100
cross	3	2.055007e-05	0.000000e+00	0.000000e+00	100
cross	3	2.078262e-05	0.000000e+00	0.000000e+00	100
cross	3	2.101781e-05	0.000000e+00	0.000000e+00	100
cross	3	2.125566e-05	0.000000e+00	0.000000e+00	100
cross	3	2.149620e-05	0.000000e+00	0.000000e+00	100
cross	3	2.173947e-05	0.000000e+00	0.000000e+00	100
cross	3	2.198548e-05	0.000000e+00	0.000000e+00	100
cross	3	2.223428e-05	0.000000e+00	0.000000e+00	100
cross	3	2.248590e-05	0.000000e+00	0.000000e+00	100
cross	3	2.274036e-05	0.000000e+00	0.000000e+00	100
cross	3	2.299771e-05	0.000000e+00	0.000000e+00	100
cross	3	2.325796e-05	0.000000e+00	0.000000e+00	100
cross	3	2.352116e-05	0.000000e+00	0.000000e+00	100
cross	3	2.378734e-05	0.000000e+00	0.000000e+00	100
cross	3	2.405653e-05	0.000000e+00	0.000000e+00	100
cross	3	2.432877e-05	0.000000e+00	0.000000e+00	100
cross	3	2.460409e-05	0.000000e+00	0.000000e+00	100
cross	3	2.488253e-05	0.000000e+00	0.000000e+00	100
cross	3	2.516411e-05	0.000000e+00	0.000000e+00	100
cross	3	2.544888e-05	0.000000e+00	0.000000e+00	100
cross	3	2.573688e-05	0.000000e+00	0.000000e+00	100
cross	3	2.602813e-05	0.000000e+00	0.000000e+00	100
cross	3	2.632268e-05	0.000000e+00	0.000000e+00	100
cross	3	2.662056e-05	0.000000e+00	0.000000e+00	100
cross	3	2.692182e-05	0.000000e+00	0.000000e+00	100
cross	3	2.722648e-05	0.000000e+00	0.000000e+00	100
cross	3	2.753459e-05	0.000000e+00	0.000000e+00	100
cross	3	2.784619e-05	0.000000e+00	0.000000e+00	100
