facet,hue,bin_center,mean_density,error,n_seeds,original_n_seeds
cross,3,4.8879e-05,0.0,0.0,0,100
cross,3,4.943214e-05,0.0,0.0,0,100
cross,3,4.999155e-05,0.0,0.0,0,100
cross,3,5.055728e-05,0.0,0.0,0,100
cross,3,5.112942e-05,0.0,0.0,0,100
cross,3,5.170803e-05,0.0,0.0,0,100
cross,3,5.229319e-05,0.0,0.0,0,100
cross,3,5.288497e-05,0.0,0.0,0,100
cross,3,5.348344e-05,0.0,0.0,0,100
cross,3,5.408869e-05,0.0,0.0,0,100
cross,3,5.470079e-05,0.0,0.0,0,100
cross,3,5.531982e-05,0.0,0.0,0,100
cross,3,5.594585e-05,0.0,0.0,0,100
cross,3,5.657897e-05,0.0,0.0,0,100
cross,3,5.721925e-05,0.0,0.0,0,100
cross,3,5.786678e-05,0.0,0.0,0,100
cross,3,5.852163e-05,0.0,0.0,0,100
cross,3,5.918389e-05,0.0,0.0,0,100
cross,3,5.985365e-05,0.0,0.0,0,100
cross,3,6.053099e-05,0.0,0.0,0,100
cross,3,6.1216e-05,0.0,0.0,0,100
cross,3,6.190875e-05,0.0,0.0,0,100
cross,3,6.260935e-05,0.0,0.0,0,100
cross,3,6.331787e-05,0.0,0.0,0,100
cross,3,6.403442e-05,0.0,0.0,0,100
cross,3,6.475907e-05,0.0,0.0,0,100
cross,3,6.549192e-05,0.0,0.0,0,100
cross,3,6.623306e-05,0.0,0.0,0,100
cross,3,6.69826e-05,0.0,0.0,0,100
cross,3,6.774061e-05,40102.64,6017.886,0,100
cross,3,6.85072e-05,0.0,0.0,0,100
cross,3,6.928247e-05,0.0,0.0,0,100
cross,3,7.006651e-05,0.0,0.0,0,100
cross,3,7.085943e-05,0.0,0.0,0,100
cross,3,7.166131e-05,0.0,0.0,0,100
cross,3,7.247228e-05,0.0,0.0,0,100
cross,3,7.329241e-05,0.0,0.0,0,100
cross,3,7.412183e-05,0.0,0.0,0,100
cross,3,7.496064e-05,0.0,0.0,0,100
cross,3,7.580894e-05,0.0,0.0,0,100
cross,3,7.666684e-05,0.0,0.0,0,100
cross,3,7.753445e-05,0.0,0.0,0,100
cross,3,7.841187e-05,0.0,0.0,0,100
cross,3,7.929923e-05,0.0,0.0,0,100
cross,3,8.019662e-05,0.0,0.0,0,100
cross,3,8.110417e-05,0.0,0.0,0,100
cross,3,8.2022e-05,0.0,0.0,0,100
cross,3,8.295021e-05,0.0,0.0,0,100
cross,3,8.388892e-05,0.0,0.0,0,100
cross,3,8.483826e-05,0.0,0.0,0,100
cross,3,8.579834e-05,0.0,0.0,0,100
cross,3,8.676928e-05,0.0,0.0,0,100
cross,3,8.775121e-05,0.0,0.0,0,100
cross,3,8.874426e-05,0.0,0.0,0,100
cross,3,8.974854e-05,0.0,0.0,0,100
cross,3,9.076419e-05,0.0,0.0,0,100
cross,3,9.179133e-05,0.0,0.0,0,100
cross,3,9.283009e-05,0.0,0.0,0,100
cross,3,9.388061e-05,0.0,0.0,0,100
cross,3,9.494302e-05,0.0,0.0,0,100
cross,3,9.601745e-05,0.0,0.0,0,100
cross,3,9.710404e-05,0.0,0.0,0,100
cross,3,9.820293e-05,0.0,0.0,0,100
cross,3,9.931425e-05,0.0,0.0,0,100
cross,3,0.0001004381,0.0,0.0,0,100
cross,3,0.0001015748,19264.63,3539.696,0,100
cross,3,0.0001027242,0.0,0.0,0,100
cross,3,0.0001038867,0.0,0.0,0,100
cross,3,0.0001050624,0.0,0.0,0,100
cross,3,0.0001062513,0.0,0.0,0,100
cross,3,0.0001074537,0.0,0.0,0,100
cross,3,0.0001086697,0.0,0.0,0,100
cross,3,0.0001098995,0.0,0.0,0,100
cross,3,0.0001111432,0.0,0.0,0,100
cross,3,0.000112401,0.0,0.0,0,100
cross,3,0.000113673,0.0,0.0,0,100
cross,3,0.0001149593,0.0,0.0,0,100
cross,3,0.0001162603,0.0,0.0,0,100
cross,3,0.000117576,0.0,0.0,0,100
cross,3,0.0001189065,0.0,0.0,0,100
cross,3,0.0001202521,0.0,0.0,0,100
cross,3,0.000121613,0.0,0.0,0,100
cross,3,0.0001229892,0.0,0.0,0,100
cross,3,0.000124381,0.0,0.0,0,100
cross,3,0.0001257886,0.0,0.0,0,100
cross,3,0.0001272121,0.0,0.0,0,100
cross,3,0.0001286517,0.0,0.0,0,100
cross,3,0.0001301076,0.0,0.0,0,100
cross,3,0.00013158,0.0,0.0,0,100
cross,3,0.000133069,0.0,0.0,0,100
cross,3,0.0001345749,0.0,0.0,0,100
cross,3,0.0001360978,10645.68,2208.785,0,100
cross,3,0.000137638,0.0,0.0,0,100
cross,3,0.0001391956,0.0,0.0,0,100
cross,3,0.0001407708,0.0,0.0,0,100
cross,3,0.0001423639,0.0,0.0,0,100
cross,3,0.0001439749,0.0,0.0,0,100
cross,3,0.0001456042,0.0,0.0,0,100
cross,3,0.000147252,0.0,0.0,0,100
cross,3,0.0001489184,0.0,0.0,0,100
cross,3,0.0001506036,0.0,0.0,0,100
cross,3,0.0001523079,0.0,0.0,0,100
cross,3,0.0001540315,0.0,0.0,0,100
cross,3,0.0001557747,0.0,0.0,0,100
cross,3,0.0001575375,0.0,0.0,0,100
cross,3,0.0001593203,0.0,0.0,0,100
cross,3,0.0001611232,0.0,0.0,0,100
cross,3,0.0001629466,0.0,0.0,0,100
cross,3,0.0001647906,0.0,0.0,0,100
cross,3,0.0001666555,0.0,0.0,0,100
cross,3,0.0001685414,6587.534,1676.257,0,100
cross,3,0.0001704488,0.0,0.0,0,100
cross,3,0.0001723777,0.0,0.0,0,100
cross,3,0.0001743284,0.0,0.0,0,100
cross,3,0.0001763012,0.0,0.0,0,100
cross,3,0.0001782963,0.0,0.0,0,100
cross,3,0.000180314,0.0,0.0,0,100
cross,3,0.0001823546,0.0,0.0,0,100
cross,3,0.0001844182,0.0,0.0,0,100
cross,3,0.0001865052,0.0,0.0,0,100
cross,3,0.0001886158,0.0,0.0,0,100
cross,3,0.0001907503,0.0,0.0,0,100
